	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
0	0.0	0.0	6083.440713079924	12166.881426159847	6083.440713079924
1	15.0	1.459796018506402	20150.113391659335	22853.06602465008	20150.113391659335
2	30.0	2.919592037012804	32933.23830694047	33341.242231118544	32933.23830694047
3	45.0	4.379388055519206	41962.08505345443	42020.78670106708	41962.08505345443
4	60.0	5.839184074025608	49378.79087923955	49388.553114182374	49378.79087923955
5	75.0	7.29898009253201	55868.212842924455	55870.07230536651	55868.212842924455
6	90.0	8.758776111038411	61718.889016146764	61719.28538899246	61718.889016146764
7	105.0	10.218572129544814	67090.91180802957	67091.00455709576	67090.91180802957
8	120.0	11.678368148051216	72086.05225324865	72086.0757245141	72086.05225324865
9	135.0	13.138164166557617	76774.21843052303	76774.22478084613	76774.21843052303
10	150.0	14.59796018506402	81205.98979279495	81205.9916132507	81205.98979279495
11	165.0	16.057756203570424	85419.38996207701	85419.3905110798	85419.38996207701
12	180.0	17.517552222076823	89443.86922667922	89443.8693998423	89443.86922667922
13	195.0	18.977348240583225	93302.79262469994	93302.79268155183	93302.79262469994
14	210.0	20.437144259089628	97015.0687453204	97015.06876467075	97015.0687453204
15	225.0	21.89694027759603	100596.25693829896	100596.25694510544	100596.25693829896
16	240.0	23.356736296102433	104059.34384279624	104059.34384526323	104059.34384279624
17	255.0	24.816532314608832	107415.3025775762	107415.30257849426	107415.3025775762
18	270.0	26.276328333115234	110673.50465967307	110673.50466002419	110673.50465967352
19	285.0	27.736124351621637	113842.02947536332	113842.02947550197	113842.02947536332
20	300.0	29.19592037012804	116927.90083675168	116927.90083680724	116927.90083675233
21	315.0	30.65571638863444	119937.27058983107	119937.27058985585	119937.27058983248
22	330.0	32.11551240714085	122875.56308120592	122875.56308121799	122875.56308120798
23	345.0	33.57530842564724	125747.59022589128	125747.59022589805	125747.59022589178
24	360.0	35.035104444153646	128557.64417550217	128557.64417550643	128557.64417550403
25	375.0	36.49490046266005	131309.57269757404	131309.57269757768	131309.57269757582
26	390.0	37.95469648116645	134006.84105300668	134006.84105301122	134006.84105301026
27	405.0	39.41449249967285	136652.58321545427	136652.58321545797	136652.58321545602
28	420.0	40.874288518179256	139249.6445944825	139249.6445944863	139249.64459448258
29	435.0	42.33408453668565	141800.61792434822	141800.6179243522	141800.61792434953
30	450.0	43.79388055519206	144307.8736091732	144307.87360917748	144307.8736091746
31	465.0	45.25367657369846	146773.58553666555	146773.58553667023	146773.58553666726
32	480.0	46.713472592204866	149199.75316110454	149199.7531611086	149199.75316110693
33	495.0	48.17326861071126	151588.220494247	151588.2204942511	151588.22049424867
34	510.0	49.633064629217664	153940.6925174878	153940.69251749286	153940.69251748992
35	525.0	51.09286064772407	156258.74943080393	156258.74943080725	156258.74943080547
36	540.0	52.55265666623047	158543.85907712227	158543.85907712582	158543.85907712317
37	555.0	54.01245268473687	160797.38781983647	160797.38781984022	160797.3878198374
38	570.0	55.472248703243274	163020.61010254733	163020.61010255123	163020.61010254888
39	585.0	56.932044721749676	165214.7168810761	165214.71688108068	165214.71688107945
40	600.0	58.39184074025608	167380.82308621815	167380.82308622374	167380.82308622022
41	615.0	59.85163675876248	169519.9742500449	169519.97425004872	169519.97425004767
42	630.0	61.31143277726888	171633.15240757124	171633.1524075755	171633.15240757482
43	645.0	62.77122879577528	173721.28136836464	173721.28136836964	173721.28136836644
44	660.0	64.2310248142817	175785.23143840334	175785.2314384071	175785.23143840535
45	675.0	65.69082083278808	177825.823660693	177825.8236606969	177825.82366069613
46	690.0	67.15061685129449	179843.83363324925	179843.8336332537	179843.83363325076
47	705.0	68.6104128698009	181839.99495484075	181839.99495484514	181839.9949548433
48	720.0	70.07020888830729	183815.00234189132	183815.0023418953	183815.00234189295
49	735.0	71.5300049068137	185769.5144541231	185769.51445412776	185769.514454126
