	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. min (Hz)	Excitation freq. max (Hz)	Excitation freq. (Hz)
0	0.0	0.0	346.2887579073529	692.5775158147057	346.2887579073529
1	2.5	0.41981131772774066	3198.349792407418	3198.4471948666132	3198.349792407418
2	5.0	0.8396226354554813	4648.047250868075	4648.047342117712	4648.047250868075
3	7.5	1.259433953183222	5757.502260528652	5757.502260858625	5757.502260528652
4	10.0	1.6792452709109627	6691.962565488467	6691.962565491133	6691.962565488575
5	12.5	2.0990565886387036	7514.854530379452	7514.854530379651	7514.854530379629
6	15.0	2.518867906366444	8258.595167121875	8258.595167122086	8258.595167122006
7	17.5	2.9386792240941846	8942.405462020735	8942.405462021032	8942.405462020844
8	20.0	3.3584905418219253	9578.794016030577	9578.794016030884	9578.794016030704
9	22.5	3.7783018595496656	10176.44216187121	10176.442161871551	10176.442161871419
10	25.0	4.198113177277407	10741.666898134938	10741.666898135481	10741.66689813529
11	27.5	4.6179244950051475	11279.23484003345	11279.234840033856	11279.234840033632
12	30.0	5.037735812732888	11792.847819448882	11792.847819449305	11792.847819449104
13	32.5	5.457547130460628	12285.448837751137	12285.448837751606	12285.448837751406
14	35.0	5.877358448188369	12759.423486000733	12759.423486001193	12759.4234860009
15	37.5	6.297169765916109	13216.737429889055	13216.737429889528	13216.737429889477
16	40.0	6.716981083643851	13659.033142484617	13659.033142485267	13659.033142485054
17	42.5	7.136792401371592	14087.69974305963	14087.699743060259	14087.699743060059
18	45.0	7.556603719099331	14503.924552746936	14503.924552747845	14503.924552747134
19	47.5	7.976415036827073	14908.731897601408	14908.731897602005	14908.73189760187
20	50.0	8.396226354554814	15303.012814894768	15303.012814895561	15303.01281489506
21	52.5	8.816037672282553	15687.548140879975	15687.548140880723	15687.548140880363
22	55.0	9.235848990010295	16063.026697792153	16063.026697792957	16063.026697792755
23	57.5	9.655660307738035	16430.059794578905	16430.059794580015	16430.05979457936
24	60.0	10.075471625465775	16789.192915409516	16789.19291541026	16789.19291540967
25	62.5	10.495282943193516	17140.915235152417	17140.9152351532	17140.915235153014
26	65.0	10.915094260921256	17485.667436105705	17485.667436106763	17485.667436106316
27	67.5	11.334905578648996	17823.848182558162	17823.84818255923	17823.84818255923
28	70.0	11.754716896376738	18155.819524549304	18155.819524550203	18155.819524549654
29	72.5	12.174528214104477	18481.911439643107	18481.91143964402	18481.911439643554
30	75.0	12.594339531832219	18802.42567503793	18802.42567503925	18802.425675038594
31	77.5	13.01415084955996	19117.639017411348	19117.63901741231	19117.639017411602
32	80.0	13.433962167287701	19427.80609134833	19427.806091349594	19427.806091349063
33	82.5	13.853773485015441	19733.16176685987	19733.161766860896	19733.161766860147
34	85.0	14.273584802743184	20033.92324072148	20033.92324072253	20033.923240722033
35	87.5	14.693396120470922	20330.29184407923	20330.29184408089	20330.291844080042
36	90.0	15.113207438198662	20622.454619077253	20622.454619078497	20622.454619077915
37	92.5	15.533018755926403	20910.5856995811	20910.58569958233	20910.585699581326
38	95.0	15.952830073654146	21194.847524965047	21194.84752496683	21194.847524966634
39	97.5	16.372641391381887	21475.391910976676	21475.391910978284	21475.391910977363
40	100.0	16.79245270910963	21752.360997728316	21752.360997729593	21752.360997729156
41	102.5	17.212264026837367	22025.888091624176	22025.888091625962	22025.88809162543
42	105.0	17.632075344565106	22296.098415373388	22296.09841537469	22296.098415374177
43	107.5	18.05188666229285	22563.109778057224	22563.109778058475	22563.109778057587
44	110.0	18.47169798002059	22827.033175439654	22827.03317544103	22827.03317544047
45	112.5	18.89150929774833	23087.973329183962	23087.973329185184	23087.973329184708
46	115.0	19.31132061547607	23346.029172412367	23346.02917241385	23346.029172413186
47	117.5	19.731131933203812	23601.2942879956	23601.294287997134	23601.294287996585
48	120.0	20.15094325093155	23853.85730507306	23853.857305074613	23853.857305073587
49	122.5	20.570754568659293	24103.802258572952	24103.80225857427	24103.802258573796
50	125.0	20.99056588638703	24351.20891586342	24351.208915864885	24351.20891586426
51	127.5	21.410377204114774	24596.15307413681	24596.1530741381	24596.15307413744
52	130.0	21.830188521842512	24838.70683166851	24838.706831670122	24838.706831668973
53	132.5	22.249999839570254	25078.938835701163	25078.9388357024	25078.9388357017
54	135.0	22.669811157297993	25316.91450937138	25316.914509372815	25316.91450937238
55	137.5	23.089622475025735	25552.69625980547	25552.696259806547	25552.696259805947
56	140.0	23.509433792753477	25786.343669254955	25786.343669256003	25786.343669254955
57	142.5	23.929245110481215	26017.913670938535	26017.91367093976	26017.913670939455
58	145.0	24.349056428208954	26247.460711054176	26247.46071105541	26247.4607110545
59	147.5	24.7688677459367	26475.036898269267	26475.036898270402	26475.036898270133
60	150.0	25.188679063664438	26700.6921418545	26700.692141855914	26700.69214185532
61	152.5	25.608490381392176	26924.474279495367	26924.47427949654	26924.474279496237
62	155.0	26.02830169911992	27146.429195709894	27146.429195711287	27146.42919571123
63	157.5	26.448113016847664	27366.600931702957	27366.600931704237	27366.60093170326
64	160.0	26.867924334575402	27585.03178740145	27585.031787402615	27585.031787401756
65	162.5	27.287735652303144	27801.762416341273	27801.762416342543	27801.762416342022
66	165.0	27.707546970030883	28016.831914007922	28016.83191400928	28016.831914007922
67	167.5	28.127358287758625	28230.27790017339	28230.27790017475	28230.2779001739
68	170.0	28.547169605486367	28442.136595723576	28442.13659572508	28442.136595724656
69	172.5	28.966980923214106	28652.442894417356	28652.442894418917	28652.44289441788
70	175.0	29.386792240941844	28861.23042997984	28861.23042998106	28861.230429980715
71	177.5	29.806603558669586	29068.531638899414	29068.53163890071	29068.53163890057
72	180.0	30.226414876397325	29274.37781925521	29274.377819256682	29274.377819255616
73	182.5	30.646226194125067	29478.799185880765	29478.79918588175	29478.799185881428
74	185.0	31.066037511852805	29681.824922135398	29681.824922136773	29681.8249221359
75	187.5	31.485848829580547	29883.483228540834	29883.4832285422	29883.483228541638
76	190.0	31.905660147308293	30083.801368505567	30083.80136850676	30083.801368506487
77	192.5	32.32547146503603	30282.80571135027	30282.805711351404	30282.80571135027
78	195.0	32.74528278276377	30480.52177282715	30480.521772828415	30480.521772828197
79	197.5	33.16509410049151	30676.974253309327	30676.97425331062	30676.974253309694
80	200.0	33.58490541821926	30872.187073807036	30872.187073808564	30872.187073807905
81	202.5	34.00471673594699	31066.183409970177	31066.183409971403	31066.18340997072
82	205.0	34.424528053674734	31258.985724200218	31258.985724201553	31258.98572420095
83	207.5	34.84433937140248	31450.615796010632	31450.615796011763	31450.615796011167
84	210.0	35.26415068913021	31641.094750741773	31641.09475074313	31641.094750741882
85	212.5	35.68396200685795	31830.443086744363	31830.443086745843	31830.443086744872
86	215.0	36.1037733245857	32018.680701125282	32018.6807011268	32018.680701125657
87	217.5	36.52358464231344	32205.826914152763	32205.826914154302	32205.82691415367
88	220.0	36.94339596004118	32391.90049239921	32391.900492400862	32391.900492400408
89	222.5	37.363207277768915	32576.919670706335	32576.919670707615	32576.919670707175
90	225.0	37.78301859549666	32760.902173040773	32760.902173042265	32760.902173041617
91	227.5	38.2028299132244	32943.86523231243	32943.865232314194	32943.86523231325
92	230.0	38.62264123095214	33125.82560921047	33125.825609212094	33125.82560921095
93	232.5	39.04245254867988	33306.79961012476	33306.79961012639	33306.79961012623
94	235.0	39.462263866407625	33486.803104199535	33486.803104201375	33486.80310420023
95	237.5	39.88207518413536	33665.851539575815	33665.85153957769	33665.85153957625
96	240.0	40.3018865018631	33843.95995886129	33843.959958862804	33843.95995886197
97	242.5	40.72169781959084	34021.143013881505	34021.143013883164	34021.14301388219
98	245.0	41.141509137318586	34197.4149797465	34197.41497974798	34197.414979747664
99	247.5	41.56132045504633	34372.78976827229	34372.78976827388	34372.789768273105
100	250.0	41.98113177277406	34547.28094079526	34547.280940796794	34547.280940796176
101	252.5	42.400943090501805	34720.90172041005	34720.901720411544	34720.90172041005
102	255.0	42.82075440822955	34893.66500366365	34893.665003665374	34893.66500366434
103	257.5	43.24056572595728	35065.583371736306	35065.58337173814	35065.5833717372
104	260.0	43.660377043685024	35236.66910113133	35236.6691011327	35236.6691011318
105	262.5	44.080188361412766	35406.93417390774	35406.93417390941	35406.93417390876
106	265.0	44.49999967914051	35576.39028747274	35576.39028747434	35576.39028747331
