	Lattice depth (Er)	Lattice depth (uK)	Excitation freq. 1->2 (Hz)	Excitation freq. 1->3 (Hz)	Excitation freq. 1->4 (Hz)	Excitation freq. 1->5 (Hz)	Excitation freq. 1->6 (Hz)	Excitation freq. 1->7 (Hz)	Excitation freq. 1->8 (Hz)	Excitation freq. 1->9 (Hz)	Excitation freq. 1->10 (Hz)
0	0.0	0.0	6083.440157484927	6083.440157484927	6083.440157484927	6083.440157484927	6083.440157484927	6083.440157484927	18250.320472454783	18250.320472454783	18250.320472454783
1	1.0	0.09731970981658288	5689.198674702782	5879.048111518763	5879.048111522838	6396.2983706945315	6396.298370698172	6655.269208454498	18292.55527526201	18298.06153326545	18298.06153326747
2	2.0	0.19463941963316575	5556.3349361147	5790.090741397918	5790.090741400049	6843.962107269691	6843.962107271086	7373.7898707926915	18438.65065076452	18460.781721329793	18460.781721331296
3	3.0	0.2919591294497486	5712.202170703353	5829.642034121247	5829.642034122766	7437.294381724462	7437.29438172457	8251.306593030382	18707.340364710835	18755.833611586866	18755.833611587997
4	4.0	0.3892788392663315	5988.9625100967305	5988.9625100972235	6139.317810673008	8164.845750479277	8164.845750481604	9277.92200670222	19097.591447041974	19179.32536345428	19179.325363457698
5	5.0	0.48659854908291433	6243.389897482095	6243.389897482668	6787.197810177464	8998.774364470128	8998.774364472634	10427.422106104055	19593.035220329628	19711.23411139348	19711.23411139417
6	6.0	0.5839182588994972	6564.584011402235	6564.584011405239	7596.92205547282	9907.154713523712	9907.15471352601	11669.527173691653	20173.21699225804	20327.102302379397	20327.10230238052
7	7.0	0.6812379687160801	6928.549809556857	6928.549809559573	8517.282501678455	10862.101475309704	10862.101475313757	12977.93011948291	20821.149167479132	21005.787530522244	21005.787530522848
8	8.0	0.778557678532663	7317.700393488531	7317.700393490636	9509.040277992324	11841.969356316024	11841.969356317466	14332.380900110646	21525.272625307174	21731.475665406793	21731.47566540851
9	9.0	0.8758773883492459	7719.986478507723	7719.986478512947	10543.347619942795	12830.649747161613	12830.649747166022	15717.840401038275	22278.66322176952	22492.901194231505	22492.90119423688
10	10.0	0.9731970981658287	8127.40101914512	8127.401019146474	11598.954947075132	13816.261055620484	13816.261055621468	17123.01009067435	23077.653341958347	23282.01132989148	23282.011329891906
11	11.0	1.0705168079824114	8534.706171566473	8534.706171567408	12659.898825271737	14790.06178852636	14790.061788527102	18539.083709180864	23920.637647022464	24092.872100156063	24092.872100156124
12	12.0	1.1678365177989944	8938.522056889164	8938.522056891728	13713.946066281465	15745.703453875598	15745.703453879569	19958.86150947541	24807.171001480914	24920.9279279095	24920.92792791116
13	13.0	1.2651562276155774	9336.711419254865	9336.711419261403	14751.649203523395	16678.73518377564	16678.735183777775	21376.164437157393	25737.294037923763	25762.5355041441	25762.535504144544
14	14.0	1.3624759374321602	9727.9704875723	9727.970487574796	15765.809147195163	17586.25424169866	17586.25424170052	22785.464028152233	26614.67784281352	26614.677842814384	26711.021597269584
15	15.0	1.459795647248743	10111.556379849328	10111.556379854037	16751.171002760086	18466.627492790853	18466.627492791307	24181.66546381631	27474.789252637256	27474.789252637336	27727.96427694328
16	16.0	1.557115357065326	10487.10391375044	10487.103913751871	17704.222291120914	19319.24379223657	19319.24379223894	25560.004122207094	28340.64678637303	28340.6467863744	28787.079352870314
17	17.0	1.6544350668819088	10854.501275757824	10854.501275760724	18623.00627166219	20144.283516668707	20144.28351667008	26916.03077060645	29210.30117020212	29210.30117020465	29886.553743490855
18	18.0	1.7517547766984918	11213.804901996213	11213.804902001295	19506.90550014493	20942.506608740914	20942.506608743395	28245.666690876325	30082.031188414974	30082.0311884182	31023.81133502363
19	19.0	1.8490744865150746	11565.180834568951	11565.18083457062	20356.38787045874	21715.06599207389	21715.065992074426	29545.309095441364	30954.312097081696	30954.31209708251	32195.61971833977
20	20.0	1.9463941963316573	11908.86417978045	11908.864179780672	21172.7327282013	22463.352350765246	22463.35235077204	30811.9619519658	31825.79253265144	31825.792532651485	33341.79392711494
21	21.0	2.0437139061482403	12245.131074779336	12245.131074781782	21957.764731499134	23188.872594986147	23188.87259498781	32043.361888610587	32695.276659224015	32695.276659224397	34246.93716091076
22	22.0	2.141033615964823	12574.279368785956	12574.279368787615	22713.620129832474	23893.160484385633	23893.1604843868	33238.06789954535	33561.709628026794	33561.70962803035	35144.79970170576
23	23.0	2.238353325781406	12896.615411435976	12896.615411437295	23442.56005621931	24577.71519653357	24577.71519653564	34395.49038148629	34424.16520039507	34424.16520039778	36034.83658980897
24	24.0	2.335673035597989	13212.445135971106	13212.445135977068	24146.83444610548	25243.962393704973	25243.962393708327	35281.83484165841	35281.834841659314	35515.84920251132	36916.6002527857
25	25.0	2.432992745414572	13522.068166590405	13522.068166592442	24828.59207956492	25893.232271374865	25893.23227137581	36134.01786349142	36134.017863493165	36600.06755180588	37789.72865033637
26	26.0	2.530312455231155	13825.774053189765	13825.774053192437	25489.82802598595	26526.749702062476	26526.74970206404	36980.11235361405	36980.11235361688	37649.62201586849	38653.93528520649
27	27.0	2.6276321650477374	14123.839997271103	14123.83999727276	26132.358760270545	27145.632516133253	27145.63251613966	37819.606729936066	37819.606729937484	38666.375288528114	39509.00059512958
28	28.0	2.7249518748643204	14416.52961680431	14416.529616809625	26757.816155666023	27750.89491751129	27750.894917512935	38652.07181746633	38652.071817467324	39652.41572119787	40354.764390409015
29	29.0	2.8222715846809034	14704.092427368287	14704.092427373424	27367.653325842333	28343.453874529354	28343.453874530085	39477.153384434394	39477.153384434525	40609.9204433678	41191.11910537624
30	30.0	2.919591294497486	14986.763810081784	14986.763810087921	27963.157168324877	28924.13700320923	28924.13700320974	40294.56509936696	40294.5650993679	41541.049938202195	42018.003705053205
31	31.0	3.016911004314069	15264.765302887245	15264.765302887748	28545.464090490623	29493.690970268788	29493.6909702701	41104.08188673137	41104.08188673176	42447.87464777687	42835.398138954195
32	32.0	3.114230714130652	15538.305099247467	15538.305099249983	29115.57666189783	30052.789809561553	30052.789809564743	41905.533668808836	41905.53366881231	43332.32960713462	43643.31826852093
33	33.0	3.2115504239472346	15807.578672730177	15807.57867273288	29674.37984421838	30602.042799439863	30602.042799440325	42698.799487915654	42698.79948791763	44196.19111896683	44441.81121855977
34	34.0	3.3088701337638176	16072.769469991712	16072.769469994968	30222.65606395285	31142.001716902454	31142.00171690409	43483.80200555679	43483.8020055593	45041.06931030934	45230.95111807786
35	35.0	3.4061898435804	16334.049632934513	16334.0496329347	30761.098790301694	31673.1673935643	31673.167393567444	44260.502376755394	44260.50237675887	45868.411227389246	46010.83520582503
36	36.0	3.5035095533969836	16591.58072278502	16591.58072278964	31290.32452230697	32195.995564955283	32195.995564955367	45028.895496553094	45028.89549655313	46679.51029662573	46781.580281058334
37	37.0	3.600829263213566	16845.514428471743	16845.514428476035	31810.88322953278	32710.902043890503	32710.902043891867	45789.005614518486	45789.00561452125	47475.51913994403	47543.31948315306
38	38.0	3.698148973030149	17095.993247533595	17095.993247536386	32323.26736350934	33218.26726917178	33218.267269173186	46540.88231063402	46540.88231063982	48257.46370845405	48296.199384457585
39	39.0	3.7954686828467312	17343.151132880477	17343.151132887844	32827.91958953662	33718.44028998225	33718.44028998494	47284.59682348022	47284.596823481705	49026.257445611715	49040.37738093747
40	40.0	3.8927883926633147	17587.114101562853	17587.11410156314	33325.239396176636	34211.74224829077	34211.74224829191	48020.23871905551	48020.238719058754	49776.01936451694	49782.71472426087
41	41.0	3.9901081024798977	17828.000803971776	17828.00080397505	33815.58873422348	34698.46941941521	34698.46941941832	48747.91288631363	48747.91288631645	50503.29766034111	50527.56316380205
42	42.0	4.087427812296481	18065.923053575443	18065.9230535797	34299.29682415988	35178.89586653075	35178.895866531675	49467.736843141356	49467.73684314225	51222.38921123122	51261.45466637198
43	43.0	4.184747522113063	18300.98631798577	18300.986317989005	34776.66425576414	35653.27575951244	35653.275759512624	50179.83833525812	50179.83833526112	51933.473991539664	51984.97515359893
44	44.0	4.282067231929646	18533.290173177687	18533.29017317878	35247.966487893456	36121.84540300134	36121.84540300259	50884.35320902439	50884.35320902471	52636.733631905336	52698.653066630504
45	45.0	4.379386941746229	18762.92872259929	18762.92872260461	35713.4568407124	36584.825012809386	36584.825012812005	51581.423538357965	51581.423538362964	53332.350236681625	53402.966733748166
46	46.0	4.476706651562812	18989.990983635038	18989.990983639866	36173.36905959313	37042.42027504182	37042.420275042045	52271.195985921084	52271.19598592273	54020.50537614898	54098.35072689095
